"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_001MA","B25070_001EA","B25070_002E","B25070_002M","B25070_002MA","B25070_002EA","B25070_003E","B25070_003EA","B25070_003M","B25070_003MA","B25070_004E","B25070_004M","B25070_004MA","B25070_004EA","B25070_005E","B25070_005EA","B25070_005M","B25070_005MA","B25070_006E","B25070_006M","B25070_006MA","B25070_006EA","B25070_007E","B25070_007M","B25070_007MA","B25070_007EA","B25070_008E","B25070_008M","B25070_008MA","B25070_008EA","B25070_009E","B25070_009EA","B25070_009M","B25070_009MA","B25070_010E","B25070_010M","B25070_010MA","B25070_010EA","B25070_011E","B25070_011M","B25070_011MA","B25070_011EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Annotation of Margin of Error!!Total!!Less than 10.0 percent","Annotation of Estimate!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Annotation of Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Annotation of Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Annotation of Margin of Error!!Total!!15.0 to 19.9 percent","Annotation of Estimate!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Annotation of Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Annotation of Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Annotation of Margin of Error!!Total!!25.0 to 29.9 percent","Annotation of Estimate!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Annotation of Margin of Error!!Total!!30.0 to 34.9 percent","Annotation of Estimate!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Annotation of Margin of Error!!Total!!35.0 to 39.9 percent","Annotation of Estimate!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Annotation of Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Annotation of Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Annotation of Margin of Error!!Total!!50.0 percent or more","Annotation of Estimate!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed","Annotation of Margin of Error!!Total!!Not computed","Annotation of Estimate!!Total!!Not computed",
"1400000US06001403300","Census Tract 4033, Alameda County, California","1672","178","null","null","35","44","null","null","81","null","65","null","139","77","null","null","172","null","119","null","122","65","null","null","124","79","null","null","131","107","null","null","205","null","108","null","546","194","null","null","117","95","null","null",
"1400000US06001403400","Census Tract 4034, Alameda County, California","2470","161","null","null","111","87","null","null","171","null","116","null","306","112","null","null","359","null","134","null","284","111","null","null","331","137","null","null","65","52","null","null","240","null","104","null","515","157","null","null","88","58","null","null",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","2255","156","null","null","0","12","null","null","147","null","92","null","228","117","null","null","300","null","127","null","259","125","null","null","275","109","null","null","224","123","null","null","223","null","132","null","491","165","null","null","108","82","null","null",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","903","105","null","null","45","32","null","null","104","null","45","null","66","40","null","null","184","null","65","null","142","77","null","null","22","23","null","null","59","51","null","null","77","null","63","null","193","62","null","null","11","16","null","null",
"1400000US06001403600","Census Tract 4036, Alameda County, California","2140","132","null","null","88","82","null","null","181","null","103","null","347","140","null","null","491","null","170","null","338","126","null","null","57","46","null","null","109","69","null","null","155","null","113","null","313","167","null","null","61","46","null","null",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","1472","78","null","null","69","53","null","null","139","null","67","null","211","75","null","null","288","null","97","null","231","91","null","null","54","45","null","null","136","69","null","null","55","null","32","null","241","81","null","null","48","44","null","null",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","847","90","null","null","29","30","null","null","105","null","73","null","156","71","null","null","170","null","62","null","97","47","null","null","42","29","null","null","0","12","null","null","45","null","45","null","182","75","null","null","21","23","null","null",
"1400000US06001403800","Census Tract 4038, Alameda County, California","1221","107","null","null","22","21","null","null","186","null","69","null","243","82","null","null","164","null","65","null","89","57","null","null","169","85","null","null","25","22","null","null","66","null","54","null","204","72","null","null","53","48","null","null",
"1400000US06001403900","Census Tract 4039, Alameda County, California","1472","156","null","null","128","102","null","null","78","null","66","null","93","68","null","null","364","null","136","null","83","58","null","null","155","112","null","null","180","107","null","null","98","null","84","null","278","134","null","null","15","25","null","null",
"1400000US06001404000","Census Tract 4040, Alameda County, California","1161","125","null","null","9","13","null","null","153","null","64","null","249","84","null","null","162","null","61","null","200","78","null","null","76","56","null","null","57","45","null","null","67","null","67","null","133","54","null","null","55","51","null","null",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","1018","116","null","null","19","21","null","null","137","null","67","null","201","77","null","null","170","null","79","null","85","44","null","null","85","53","null","null","71","50","null","null","39","null","32","null","194","75","null","null","17","18","null","null",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","1261","89","null","null","134","69","null","null","178","null","68","null","222","94","null","null","176","null","65","null","94","42","null","null","131","60","null","null","73","53","null","null","38","null","30","null","199","70","null","null","16","18","null","null",
"1400000US06001404200","Census Tract 4042, Alameda County, California","283","75","null","null","21","23","null","null","23","null","26","null","38","31","null","null","75","null","50","null","28","42","null","null","23","26","null","null","18","20","null","null","0","null","12","null","27","22","null","null","30","24","null","null",
"1400000US06001404300","Census Tract 4043, Alameda County, California","228","76","null","null","48","34","null","null","22","null","21","null","35","31","null","null","38","null","35","null","18","21","null","null","23","36","null","null","0","12","null","null","8","null","13","null","15","19","null","null","21","33","null","null",
"1400000US06001404400","Census Tract 4044, Alameda County, California","338","133","null","null","0","17","null","null","14","null","19","null","29","34","null","null","132","null","91","null","64","75","null","null","39","43","null","null","12","20","null","null","16","null","25","null","19","31","null","null","13","20","null","null",
